Hz,CpED4,DED4,CpDE4,DDE4,CpED2,DED2,CpDE2,DDE2,CpSED,DSED,CpSDE,DSDE,CpFMF,DFMF,CpFMS,DFMS,CpFMRF,DFMRF,CpFMRS,DFMRS,CpSMF,DSMF,CpSMS,DSMS,CpTMF,DTMF,CpTMS,DTMS,CpTMRF,DTMRF,CpTMRS,DTMRS
1000,-1.14E-07,1.54E-01,4.66E-07,1.51E+00,3.78E-08,1.42E+01,2.01E-07,2.84E+00,1.21E-05,5.42E+00,1.23E-05,5.59E+00,3.00E-08,1.43E+01,1.35E-05,5.14E+00,1.30E-08,2.02E-01,1.27E-08,2.10E-01,1.28E-08,2.09E-01,1.83E-08,4.73E-01,4.23E-08,1.89E+00,-3.12E-08,2.94E+00,1.27E-08,2.09E-01,2.21E-08,3.02E-01
1000,-1.95E-06,1.04E+00,5.72E-07,1.42E+00,4.59E-08,1.16E+01,2.94E-07,1.60E+00,1.11E-05,5.95E+00,1.23E-05,5.60E+00,4.68E-08,9.19E+00,1.28E-05,5.30E+00,1.28E-08,2.09E-01,1.27E-08,2.10E-01,1.27E-08,2.10E-01,3.39E-08,5.40E-01,2.28E-08,2.16E+00,-5.82E-06,1.58E-01,1.27E-08,2.09E-01,7.36E-08,1.78E-01
1000,5.54E-06,1.17E+01,-8.59E-10,1.25E+03,4.10E-08,1.29E+01,1.52E-07,3.40E+00,1.19E-05,5.54E+00,1.36E-05,5.12E+00,2.99E-08,1.51E+01,1.37E-05,4.99E+00,1.56E-08,9.10E-02,1.27E-08,2.11E-01,1.27E-08,2.10E-01,4.24E-08,9.18E-02,4.51E-08,6.44E-01,-3.69E-06,5.13E-01,1.27E-08,2.10E-01,3.53E-07,5.17E-02
1200,5.14E-05,3.58E+00,4.30E-07,1.70E+00,9.56E-08,4.74E+00,2.20E-07,2.16E+00,1.62E-05,7.55E+00,3.64E-05,3.40E+00,1.23E-07,2.86E+00,1.82E-05,6.80E+00,-6.97E-10,4.54E+00,3.85E-11,7.75E-01,-9.78E-12,1.45E+00,3.92E-07,2.60E-03,-9.76E-08,6.48E-01,-1.50E-08,2.62E+00,5.94E-13,2.57E+01,-9.03E-07,1.58E-01
1200,1.16E-04,3.05E+00,9.12E-07,6.77E-01,1.15E-07,4.03E+00,2.24E-07,2.14E+00,1.28E-05,9.55E+00,3.49E-05,3.56E+00,1.02E-07,3.39E+00,7.43E-06,1.64E+01,5.24E-09,4.16E-01,-9.14E-11,1.47E+00,2.41E-12,3.94E+00,-8.96E-07,1.57E+00,4.78E-08,9.48E-01,-9.80E-09,1.00E+00,6.10E-11,1.86E-01,1.02E-06,9.47E-01
1200,1.03E-04,3.16E+00,8.02E-07,9.50E-01,8.13E-08,5.52E+00,2.06E-07,2.30E+00,1.23E-05,9.68E+00,3.69E-05,3.32E+00,1.14E-07,3.13E+00,8.99E-06,1.34E+01,-2.82E-11,1.79E+00,-7.87E-11,5.93E-01,5.70E-11,9.52E-01,-3.27E-08,1.09E+00,-1.08E-07,3.36E-01,6.50E-10,3.75E-01,-2.64E-11,2.91E-01,-7.88E-07,1.19E-01
1200,1.14E-04,3.28E+00,6.89E-07,8.26E-01,9.43E-08,4.80E+00,2.05E-07,2.33E+00,1.31E-05,9.42E+00,4.20E-05,2.95E+00,9.89E-08,3.52E+00,1.25E-05,9.88E+00,6.23E-11,4.46E-01,1.21E-11,1.16E+01,-4.76E-12,2.04E+00,2.08E-06,2.50E+00,2.36E-08,4.78E-01,-4.28E-08,5.29E-01,-3.09E-12,5.62E+00,1.12E-06,1.07E-01
1200,1.21E-04,2.80E+00,-3.16E-05,6.86E-02,9.49E-08,4.73E+00,2.22E-07,2.16E+00,1.44E-05,8.38E+00,3.82E-05,3.21E+00,1.34E-07,2.66E+00,1.28E-05,9.60E+00,-3.01E-11,3.91E+00,7.86E-10,1.20E-01,-3.47E-11,1.97E+00,1.04E-06,8.06E-01,-5.82E-08,1.10E+00,-2.20E-09,3.49E-01,7.79E-11,1.99E-01,-6.43E-06,9.96E-02
1500,2.66E-04,8.39E-01,1.65E-06,2.96E-01,1.20E-07,3.12E+00,1.58E-07,2.36E+00,1.51E-04,8.12E-01,1.41E-04,8.20E-01,7.44E-08,4.59E+00,1.39E-04,8.32E-01,-2.45E-09,1.12E+00,-7.41E-10,1.42E+01,-6.23E-11,3.64E-02,-3.04E-07,1.68E-01,-5.49E-07,4.09E-02,-5.41E-08,3.17E-01,4.47E-12,5.47E+00,-2.42E-06,5.18E-01
1500,2.26E-04,8.29E-01,8.65E-07,6.23E-01,1.20E-07,3.10E+00,1.76E-07,2.16E+00,1.48E-04,8.26E-01,1.45E-04,8.15E-01,8.49E-08,3.22E+00,1.42E-04,8.34E-01,3.20E-09,1.69E+00,6.32E-08,1.12E-01,-1.66E-11,3.49E+00,-4.38E-08,1.21E+00,-3.81E-06,3.08E-01,6.98E-09,1.42E+00,-2.98E-11,5.21E-01,2.51E-08,3.20E-01
1500,2.25E-04,8.06E-01,9.02E-07,5.53E-01,1.14E-07,3.25E+00,1.98E-07,2.01E+00,1.47E-04,8.44E-01,1.45E-04,8.04E-01,5.31E-08,5.06E+00,1.41E-04,8.34E-01,3.07E-08,5.59E-01,1.95E-07,4.05E-02,-3.55E-11,2.07E-01,-6.17E-08,4.98E-01,3.55E-06,3.07E-01,-8.81E-08,2.08E-01,2.02E-11,9.20E-01,7.44E-07,1.28E+00
1500,2.17E-04,8.06E-01,8.61E-07,6.21E-01,9.10E-08,4.00E+00,1.36E-07,2.68E+00,1.48E-04,8.40E-01,1.30E-04,9.02E-01,4.81E-08,5.65E+00,1.57E-04,8.15E-01,1.81E-10,6.84E-01,-2.27E-08,2.89E-01,-8.56E-11,5.99E-02,-4.65E-06,1.01E+00,-1.48E-06,6.89E-01,7.79E-06,1.55E-01,-2.04E-11,2.18E-01,8.70E-09,2.25E+00
1500,2.34E-04,8.12E-01,7.75E-07,3.52E-01,1.54E-07,2.31E+00,1.50E-07,2.49E+00,1.33E-04,9.13E-01,1.45E-04,8.22E-01,5.17E-08,5.22E+00,1.44E-04,8.23E-01,3.20E-12,4.52E+00,-2.01E-08,1.18E-01,9.51E-12,5.87E+00,-6.86E-06,1.06E-01,9.89E-06,1.67E-01,3.43E-08,5.28E-01,2.06E-10,2.77E-01,-2.76E-09,1.65E-01
1500,2.20E-04,8.07E-01,1.49E-07,3.41E+00,8.95E-08,3.91E+00,1.89E-07,2.02E+00,1.46E-04,8.52E-01,1.44E-04,8.13E-01,5.07E-08,5.32E+00,1.42E-04,8.29E-01,2.15E-11,7.77E-01,4.45E-10,5.64E+00,-2.23E-10,1.74E-02,-2.93E-08,2.44E+00,-1.12E-06,1.01E-01,9.65E-08,5.06E-01,-1.97E-10,2.79E-01,4.43E-06,5.93E-01
2000,3.31E-04,3.03E-01,3.46E-07,7.32E-01,4.54E-08,5.94E+00,8.45E-08,2.93E+00,1.93E-04,3.08E-01,1.84E-04,3.23E-01,5.72E-08,4.69E+00,1.88E-04,3.21E-01,4.82E-12,4.76E+00,-4.61E-09,1.57E-01,8.79E-11,7.39E-01,-4.98E-08,5.61E-01,1.22E-07,4.43E-01,-1.28E-07,4.60E-01,-4.61E-11,1.81E+00,-2.56E-07,7.28E-01
